Z,CO_TAZID,SUBAREAID,TOTHH,HHPOP,HHSIZE,TOTWRK,HHV0,HHV1,HHV2,HHV3,AUTOS,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,AVGINCOME,ENROL_ELEM,ENROL_MIDL,ENROL_HIGH,CO_FIPS,CO_NAME,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME
     36.00,  30036.00,      1.00,    116.30,    206.10,      1.77,    103.82,      5.30,     45.60,     47.60,     17.90,    203.30,         0,         0,         0,         0,     15.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      9.30,      6.10,  79483.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     37.00,  30037.00,      1.00,     51.30,     83.30,      1.62,     32.96,      1.50,      9.70,     18.10,      7.10,     70.70,     72.90,     10.10,     21.80,     41.00,    105.60,      5.90,      4.20,     16.30,      5.50,      3.40,      8.10,      7.40,     22.10,         0,         0,     30.00,      2.70,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     38.00,  30038.00,      1.00,      2.10,      5.50,      2.62,      2.51,      0.10,      0.50,      0.90,      0.60,      4.30,   1234.50,     15.60,   1158.40,     60.50,   1236.20,      9.30,      6.30,   1149.70,      8.70,      4.90,     19.60,     10.60,     25.40,         0,         0,      1.40,      0.10,  71342.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     39.00,  30039.00,      1.00,     72.70,    181.90,      2.50,     83.03,      3.30,     19.80,     31.20,     18.50,    147.00,    182.70,     17.90,     13.70,    151.10,    192.30,     15.30,      2.60,     10.10,      3.60,      2.00,      5.10,      7.00,    137.00,         0,         0,      5.70,      3.80,  63775.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     40.00,  30040.00,      1.00,    338.70,    685.30,      2.02,    290.67,     24.40,    126.40,    132.00,     55.80,    585.80,    262.50,     28.80,     12.50,    221.20,    280.30,     27.80,      1.00,      3.70,      8.80,     49.90,     74.80,     32.50,     64.00,         0,         0,         0,     17.80,  44064.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     41.00,  30041.00,      1.00,    107.70,    218.90,      2.03,     90.76,      8.50,     41.50,     40.50,     17.20,    182.70,    584.20,    206.30,     87.30,    290.60,    593.00,    189.90,     16.40,     64.40,     22.90,     12.80,     32.20,     56.20,    189.40,         0,         0,      2.90,      5.70,  37413.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     42.00,  30042.00,      1.00,     68.90,    223.10,      3.24,     84.96,      3.10,     17.10,     31.10,     17.50,    140.70,     81.70,         0,         0,     81.70,     86.70,         0,         0,         0,         0,      2.00,         0,         0,     79.70,         0,         0,      1.40,      3.60,  37413.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     43.00,  30043.00,      1.00,    202.20,    640.70,      3.17,    276.96,      5.60,     42.00,     95.20,     59.40,    440.20,     81.70,      0.50,      1.40,     79.80,     96.70,      0.30,      0.20,      0.90,      0.50,      0.20,     32.90,     45.80,      0.90,         0,         0,      4.30,     10.60,  69838.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     44.00,  30044.00,      1.00,    156.80,    419.40,      2.67,    197.73,      4.90,     37.10,     71.60,     43.30,    331.80,         0,         0,         0,         0,     17.50,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      9.30,      8.20,  79596.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
     45.00,  30045.00,      1.00,    139.40,    395.30,      2.84,    182.70,      4.00,     29.00,     64.70,     41.70,    304.30,     25.80,         0,         0,     25.80,     48.80,         0,         0,         0,         0,     25.80,         0,         0,         0,         0,         0,     15.70,      7.30,  79606.00,         0,         0,         0,      3.00,BOX ELDER                      ,Brigham City                                                ,      1.00,Box Elder County - WFRC        ,      3.00,Brigham City - North Perry     ,      2.00,Brigham City                                 
