merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
2886,WFRC_8433_E,POINT (-111.91858169133421 40.44448417681851),422100_4477500,WFRC_8433,E,WB
2887,MAG_6070_E,POINT (-111.90812172702748 40.42478094327036),422960_4475300,MAG_6070,E,WB
2888,MAG_6091_E,POINT (-111.67372911007507 40.13325010480077),442600_4442760,MAG_6091,E,WB
2888,MAG_6271_E,POINT (-111.67372911007507 40.13325010480077),442600_4442760,MAG_6271,E,WB
2889,MAG_6868_E,POINT (-111.89995231879765 40.430432163147785),423660_4475920,MAG_6868,E,WB
2890,MAG_6074_E,POINT (-111.90690525276375 40.42047711101621),423060_4474820,MAG_6074,E,WB
2890,MAG_6678_E,POINT (-111.90690525276375 40.42047711101621),423060_4474820,MAG_6678,E,WB
2891,MAG_6870_E,POINT (-111.82323224576733 40.36418461767844),430100_4468500,MAG_6870,E,WB
2892,MAG_6076_E,POINT (-111.81363233932325 40.364215257898195),430920_4468500,MAG_6076,E,WB
2892,MAG_6257_E,POINT (-111.81363233932325 40.364215257898195),430920_4468500,MAG_6257,E,WB
2893,MAG_6077_E,POINT (-111.82656661625343 40.362418536972115),429820_4468320,MAG_6077,E,WB
2893,MAG_6078_E,POINT (-111.82656661625343 40.362418536972115),429820_4468320,MAG_6078,E,WB
2894,MAG_6079_E,POINT (-111.75872907913777 40.326214264304326),435540_4464240,MAG_6079,E,WB
2894,MAG_6859_E,POINT (-111.75872907913777 40.326214264304326),435540_4464240,MAG_6859,E,WB
2895,MAG_6085_E,POINT (-111.64647716970941 40.17431330178652),444960_4447300,MAG_6085,E,WB
2896,MAG_6086_E,POINT (-111.65186059500297 40.174330924030016),444500_4447320,MAG_6086,E,WB
2896,MAG_6482_E,POINT (-111.65186059500297 40.174330924030016),444500_4447320,MAG_6482,E,WB
2897,MAG_6087_E,POINT (-111.689200744369 40.14034426859734),441300_4443560,MAG_6087,E,WB
2897,MAG_6270_E,POINT (-111.689200744369 40.14034426859734),441300_4443560,MAG_6270,E,WB
2898,MAG_6089_E,POINT (-111.71875652691872 40.12923249294982),438760_4442340,MAG_6089,E,WB
2898,MAG_6198_E,POINT (-111.71875652691872 40.12923249294982),438760_4442340,MAG_6198,E,WB
2899,MAG_6088_E,POINT (-111.7115062934328 40.12927370456409),439380_4442340,MAG_6088,E,WB
2899,MAG_6365_E,POINT (-111.7115062934328 40.12927370456409),439380_4442340,MAG_6365,E,WB
2900,MAG_6385_E,POINT (-111.72077086899506 40.12921657668545),438600_4442340,MAG_6385,E,WB
2900,MAG_6405_E,POINT (-111.72077086899506 40.12921657668545),438600_4442340,MAG_6405,E,WB
2901,MAG_6197_E,POINT (-111.718833816548 40.13368510727229),438760_4442840,MAG_6197,E,WB
2902,MAG_6263_E,POINT (-111.68931231470741 40.13033950072562),441280_4442460,MAG_6263,E,WB
2903,MAG_6092_E,POINT (-111.68079505526131 40.09839006313846),441980_4438900,MAG_6092,E,WB
2904,MAG_6094_E,POINT (-111.68985145554201 40.10811361886356),441200_4439980,MAG_6094,E,WB
2904,MAG_6400_E,POINT (-111.68985145554201 40.10811361886356),441200_4439980,MAG_6400,E,WB
2905,MAG_6131_E,POINT (-111.68768772742798 40.06649852694609),441360_4435360,MAG_6131,E,WB
2906,MAG_6102_E,POINT (-111.64322539868554 40.07255522840443),445160_4436000,MAG_6102,E,WB
2906,MAG_6104_E,POINT (-111.64322539868554 40.07255522840443),445160_4436000,MAG_6104,E,WB
2906,MAG_6309_E,POINT (-111.64322539868554 40.07255522840443),445160_4436000,MAG_6309,E,WB
2907,MAG_6097_E,POINT (-111.62331185611896 40.08222085460261),446860_4437060,MAG_6097,E,WB
2908,MAG_6106_E,POINT (-111.8030760639301 40.14069775297546),431600_4443680,MAG_6106,E,WB
2909,MAG_6134_E,POINT (-111.94547153397333 39.99232249152431),419280_4427340,MAG_6134,E,WB
2910,MAG_6107_E,POINT (-111.843306917311 40.003641078602286),428020_4428500,MAG_6107,E,WB
2911,MAG_6109_E,POINT (-111.89971351385333 39.93556795265183),423120_4421000,MAG_6109,E,WB
2912,MAG_6108_E,POINT (-111.83011250838689 39.94148273937678),429080_4421600,MAG_6108,E,WB
2913,MAG_6292_E,POINT (-111.778094417137 40.03164423599747),433620_4431560,MAG_6292,E,WB
2913,MAG_6293_E,POINT (-111.778094417137 40.03164423599747),433620_4431560,MAG_6293,E,WB
2914,MAG_6110_E,POINT (-111.76813378862731 40.0302737358834),434460_4431400,MAG_6110,E,WB
2914,MAG_6184_E,POINT (-111.76813378862731 40.0302737358834),434460_4431400,MAG_6184,E,WB
2914,MAG_6295_E,POINT (-111.76813378862731 40.0302737358834),434460_4431400,MAG_6295,E,WB
2915,MAG_6113_E,POINT (-111.70383963698711 40.03422327262315),439960_4431800,MAG_6113,E,WB
2916,MAG_6114_E,POINT (-111.70428319046653 40.04649653234448),439920_4433160,MAG_6114,E,WB
2917,MAG_6115_E,POINT (-111.7248922849534 40.065408115331856),438180_4435260,MAG_6115,E,WB
2918,MAG_6117_E,POINT (-111.6909254577266 40.24518070136758),441240_4455200,MAG_6117,E,WB
2920,MAG_6120_E,POINT (-111.80269383990732 40.003806711645055),431480_4428480,MAG_6120,E,WB
2920,MAG_6452_E,POINT (-111.80269383990732 40.003806711645055),431480_4428480,MAG_6452,E,WB
2921,MAG_6781_E,POINT (-111.99759246002361 40.26143577504962),415180_4457260,MAG_6781,E,WB
2921,MAG_6851_E,POINT (-111.99759246002361 40.26143577504962),415180_4457260,MAG_6851,E,WB
2922,MAG_6123_E,POINT (-111.99681080239895 40.26922562603252),415240_4458120,MAG_6123,E,WB
2922,MAG_6574_E,POINT (-111.99681080239895 40.26922562603252),415240_4458120,MAG_6574,E,WB
2923,MAG_6186_E,POINT (-111.77014987908626 40.0861045571834),434340_4437600,MAG_6186,E,WB
2923,MAG_6187_E,POINT (-111.77014987908626 40.0861045571834),434340_4437600,MAG_6187,E,WB
2924,MAG_6133_E,POINT (-111.75029971304672 40.08518252976651),436040_4437480,MAG_6133,E,WB
