STOPID,SegID,Direction
443220_4454220,0089_335.0,EB
443220_4454660,0089_335.3,EB
443220_4455800,0089_335.6,EB
442800_4456440,0089_336.0,EB
442620_4456720,0089_336.5,EB
442160_4457380,0089_336.7,EB
442000_4457720,0089_337.2,EB
441800_4458320,0089_337.5,EB
441740_4458520,0089_337.9,EB
441460_4459340,0089_338.0,EB
441200_4460140,0089_338.5,EB
440940_4460960,0089_339.1,EB
440660_4461780,0089_339.6,EB
440400_4462620,0089_340.2,EB
440120_4463440,0089_340.7,EB
439860_4464240,0089_341.3,EB
439400_4465040,0089_341.8,EB
438580_4466260,0089_342.4,EB
437860_4467060,0089_343.3,EB
437500_4467480,0089_344.0,EB
437260_4467740,0089_344.3,EB
437120_4467860,0089_344.6,EB
436560_4468100,0089_344.7,EB
436220_4468620,0089_345.0,EB
435500_4468880,0089_345.4,EB
434700_4469120,0089_345.9,EB
433320_4469560,0089_346.5,EB
432440_4469880,0089_347.4,EB
431980_4469880,0089_348.0,EB
431540_4469900,0089_348.3,EB
431100_4469900,0089_348.5,EB
430860_4470600,0089_348.8,EB
430240_4471020,0089_349.3,EB
429820_4471240,0089_349.8,EB
428640_4471860,0089_350.1,EB
427900_4472280,0089_350.9,EB
427500_4472700,0089_351.4,EB
427280_4472920,0089_351.8,EB
427000_4473200,0089_352.0,EB
426240_4473940,0089_352.2,EB
424520_4487740,0089_362.5,EB
424520_4487740,0089_363.3,EB
424540_4488560,0089_363.8,EB
424580_4489360,0089_364.3,EB
424580_4490160,0089_364.8,EB
424600_4491380,0089_365.5,EB
424600_4492580,0089_366.3,EB
424600_4493420,0089_366.8,EB
424620_4494060,0089_367.2,EB
424640_4495380,0089_368.0,EB
424640_4495960,0089_368.4,EB
424680_4497040,0089_369.0,EB
424780_4498280,0089_369.8,EB
424780_4498420,0089_369.9,EB
424840_4499500,0089_370.6,EB
424880_4500220,0089_371.0,EB
424900_4500960,0089_371.5,EB
424920_4501880,0089_372.0,EB
424920_4502160,0089_372.2,EB
424920_4502980,0089_372.6,EB
424920_4502980,0089_372.7,EB
424940_4504400,0089_373.6,EB
424960_4505820,0089_374.5,EB
424980_4507240,0089_375.3,EB
424980_4507860,0089_375.7,EB
425000_4508660,0089_376.2,EB
425000_4509560,0089_376.8,EB
425000_4510460,0089_377.3,EB
425020_4511360,0089_377.9,EB
425020_4511600,0089_378.0,EB
425020_4512080,0089_378.3,EB
425020_4512320,0089_378.5,EB
424780_4512560,0089_378.6,EB
424540_4512580,0089_378.8,EB
424300_4512580,0089_378.9,EB
424060_4512580,0089_379.1,EB
424060_4512580,0089_379.2,EB
424060_4512820,0089_379.4,EB
424060_4513060,0089_379.5,EB
424080_4513540,0089_379.8,EB
424080_4513780,0089_380.0,EB
424080_4514260,0089_380.3,EB
424080_4514980,0089_380.7,EB
423980_4515840,0089_381.0,EB
423780_4516280,0089_381.3,EB
422720_4518980,0089_381.6,EB
422720_4518980,0089_383.5,EB
422920_4520740,0089_384.6,EB
423060_4521100,0089_384.9,EB
423120_4521280,0089_385.0,EB
423260_4521600,0089_385.2,EB
423560_4522320,0089_385.7,EB
424020_4523080,0089_386.3,EB
424460_4523780,0089_386.8,EB
424800_4524340,0089_387.2,EB
424820_4524880,0089_387.6,EB
424820_4525240,0089_387.8,EB
424840_4526280,0089_388.4,EB
424840_4527380,0089_389.1,EB
423660_4539240,0089_396.1,EB
423320_4540420,0089_396.8,EB
423320_4540420,0089_397.6,EB
423520_4543780,0089_398.7,EB
423500_4545060,0089_399.7,EB
423500_4545060,0089_400.5,EB
423460_4546500,0089_400.9,EB
423460_4546500,0089_401.4,EB
423480_4547740,0089_402.2,EB
423540_4549380,0089_403.2,EB
423620_4551100,0089_404.3,EB
423300_4554400,0089_405.7,EB
423140_4554700,0089_406.4,EB
422860_4555260,0089_406.6,EB
421460_4556060,0089_407.0,EB
421080_4556460,0089_408.1,EB
420120_4557320,0089_408.4,EB
419660_4557580,0089_409.3,EB
419060_4557920,0089_409.6,EB
418760_4558140,0089_410.0,EB
418560_4558420,0089_410.2,EB
418520_4558760,0089_410.5,EB
418520_4558760,0089_410.7,EB
418520_4559340,0089_411.1,EB
418540_4559720,0089_411.3,EB
418560_4560360,0089_411.7,EB
418580_4561160,0089_412.2,EB
418600_4561460,0089_412.4,EB
418620_4562320,0089_412.9,EB
418620_4562540,0089_413.1,EB
418640_4563020,0089_413.3,EB
418640_4563480,0089_413.6,EB
418660_4563940,0089_413.9,EB
418680_4564400,0089_414.2,EB
418680_4564640,0089_414.4,EB
418680_4564860,0089_414.5,EB
418700_4565480,0089_414.9,EB
418720_4566320,0089_415.4,EB
418740_4567160,0089_415.9,EB
418380_4568820,0089_416.5,EB
418120_4569340,0089_417.0,EB
417680_4570000,0089_417.4,EB
417440_4570480,0089_417.9,EB
417180_4571020,0089_418.2,EB
416720_4571940,0089_418.6,EB
416020_4573020,0089_419.3,EB
415820_4573300,0089_420.1,EB
414700_4575300,0089_420.3,EB
